Base State,Target State,Epochs,CFCBK,FCBK,Zigzag,Weighted mAP@50,mAP@50:95,mAP@50,mAP@75,CA mAP@50:95,CA mAP@50,CA mAP@75
Gen Delhi NCR (CG),West Bengal,50,0.000000,0.000264,0.198238,0.107901,0.032792,0.099251,0.019111,0.109308,0.372759,0.037028
Gen Delhi NCR (CG),West Bengal,49,0.000000,0.000287,0.209372,0.113964,0.034918,0.104829,0.018544,0.109426,0.367740,0.038601
Gen Delhi NCR (CG),West Bengal,48,0.000000,0.000281,0.200460,0.109116,0.033662,0.100370,0.019806,0.109696,0.370110,0.039083
Gen Delhi NCR (CG),West Bengal,47,0.000000,0.000085,0.203986,0.110944,0.033450,0.102035,0.019879,0.105837,0.360422,0.039538
Gen Delhi NCR (CG),West Bengal,46,0.000000,0.000087,0.201577,0.109635,0.032782,0.100832,0.019135,0.107574,0.366371,0.038790
Gen Delhi NCR (CG),West Bengal,45,0.000000,0.000083,0.200686,0.109149,0.032680,0.100385,0.019124,0.105936,0.367091,0.037189
Gen Delhi NCR (CG),West Bengal,44,0.000000,0.000278,0.198936,0.108286,0.032963,0.099607,0.018940,0.107577,0.367662,0.037756
Gen Delhi NCR (CG),West Bengal,43,0.000000,0.000289,0.206655,0.112488,0.034539,0.103472,0.019218,0.107007,0.365782,0.039159
Gen Delhi NCR (CG),West Bengal,42,0.000000,0.000287,0.199887,0.108807,0.033083,0.100087,0.020143,0.108622,0.369875,0.040279
Gen Delhi NCR (CG),West Bengal,41,0.000000,0.000326,0.200765,0.109303,0.033281,0.100546,0.020163,0.109631,0.371687,0.040658
Gen Delhi NCR (CG),West Bengal,40,0.000000,0.000318,0.200928,0.109387,0.034229,0.100623,0.020092,0.105114,0.359991,0.040699
Gen Delhi NCR (CG),West Bengal,39,0.000000,0.000324,0.206248,0.112283,0.034252,0.103286,0.020007,0.105489,0.366769,0.040451
Gen Delhi NCR (CG),West Bengal,38,0.000000,0.000099,0.194002,0.105522,0.032227,0.097051,0.020027,0.104911,0.365858,0.039880
Gen Delhi NCR (CG),West Bengal,37,0.000000,0.000096,0.196130,0.106678,0.032685,0.098113,0.020461,0.105728,0.366294,0.040606
Gen Delhi NCR (CG),West Bengal,36,0.000000,0.000338,0.198179,0.107902,0.032987,0.099258,0.020114,0.107909,0.370007,0.040194
Gen Delhi NCR (CG),West Bengal,35,0.000000,0.000087,0.202431,0.110099,0.033407,0.101259,0.019687,0.109502,0.374200,0.039240
Gen Delhi NCR (CG),West Bengal,34,0.000000,0.000298,0.211643,0.115204,0.034984,0.105970,0.019771,0.109637,0.371822,0.038803
Gen Delhi NCR (CG),West Bengal,33,0.000000,0.000295,0.207157,0.112764,0.034051,0.103726,0.018528,0.109402,0.375274,0.035693
Gen Delhi NCR (CG),West Bengal,32,0.000000,0.000292,0.199572,0.108638,0.032582,0.099932,0.019653,0.101779,0.364657,0.041763
Gen Delhi NCR (CG),West Bengal,31,0.000000,0.000558,0.205103,0.111767,0.032572,0.102830,0.020489,0.099949,0.344795,0.040080
Gen Delhi NCR (CG),West Bengal,30,0.000000,0.000290,0.201234,0.109541,0.033921,0.100762,0.020283,0.105196,0.353407,0.039536
Gen Delhi NCR (CG),West Bengal,29,0.000000,0.000407,0.205136,0.111716,0.034978,0.102771,0.022916,0.106406,0.368847,0.043029
Gen Delhi NCR (CG),West Bengal,28,0.000000,0.000132,0.195999,0.106623,0.031974,0.098066,0.020615,0.098557,0.342174,0.041953
Gen Delhi NCR (CG),West Bengal,27,0.000000,0.000251,0.159930,0.087067,0.024920,0.080090,0.010107,0.091895,0.328049,0.028330
Gen Delhi NCR (CG),West Bengal,26,0.000000,0.000104,0.186783,0.101599,0.025407,0.093443,0.003634,0.077494,0.319972,0.011157
Gen Delhi NCR (CG),West Bengal,25,0.000000,0.000257,0.162663,0.088555,0.021865,0.081460,0.007820,0.088830,0.329418,0.032374
Gen Delhi NCR (CG),West Bengal,24,0.000000,0.001596,0.202505,0.110828,0.029954,0.102051,0.011091,0.100451,0.357473,0.028735
Gen Delhi NCR (CG),West Bengal,23,0.000000,0.001358,0.187895,0.102776,0.029168,0.094626,0.007876,0.097205,0.350309,0.020814
Gen Delhi NCR (CG),West Bengal,22,0.000000,0.000762,0.188577,0.102875,0.024297,0.094669,0.007220,0.088311,0.332668,0.020414
Gen Delhi NCR (CG),West Bengal,21,0.000000,0.000000,0.158930,0.086409,0.019764,0.079465,0.005112,0.085018,0.317351,0.027663
Gen Delhi NCR (CG),West Bengal,20,0.000000,0.000000,0.172658,0.093872,0.021997,0.086329,0.003375,0.075671,0.304813,0.012085
Gen Delhi NCR (CG),West Bengal,19,0.000000,0.000000,0.142343,0.077391,0.021234,0.071172,0.003732,0.078136,0.284363,0.014681
Gen Delhi NCR (CG),West Bengal,18,0.000000,0.000000,0.149430,0.081243,0.021173,0.074715,0.007948,0.082040,0.315924,0.019901
Gen Delhi NCR (CG),West Bengal,17,0.000000,0.000000,0.133395,0.072526,0.019476,0.066698,0.004960,0.074127,0.274050,0.018703
Gen Delhi NCR (CG),West Bengal,16,0.000000,0.000000,0.135981,0.073931,0.017000,0.067991,0.002996,0.067702,0.269089,0.011327
Gen Delhi NCR (CG),West Bengal,15,0.000000,0.000000,0.119122,0.064765,0.015470,0.059561,0.002844,0.065676,0.274314,0.013983
Gen Delhi NCR (CG),West Bengal,14,0.000000,0.000000,0.156685,0.085188,0.019854,0.078342,0.003171,0.085779,0.360499,0.010983
Gen Delhi NCR (CG),West Bengal,13,0.000000,0.000000,0.085563,0.046520,0.011135,0.042781,0.001574,0.045741,0.190160,0.003838
Gen Delhi NCR (CG),West Bengal,12,0.000000,0.000000,0.059079,0.032120,0.008252,0.029539,0.001701,0.032880,0.132004,0.005019
Gen Delhi NCR (CG),West Bengal,11,0.000000,0.000000,0.018991,0.010325,0.002028,0.009495,0.000148,0.007687,0.038681,0.000566
Gen Delhi NCR (CG),West Bengal,10,0.000000,0.000000,0.006160,0.003349,0.000618,0.003080,0.000007,0.002326,0.011155,0.000088
Gen Delhi NCR (CG),West Bengal,9,0.000000,0.000000,0.006187,0.003364,0.000677,0.003093,0.000100,0.001947,0.010852,0.000171
Gen Delhi NCR (CG),West Bengal,8,0.000000,0.000000,0.013980,0.007601,0.001413,0.006990,0.000200,0.003181,0.017890,0.000126
Gen Delhi NCR (CG),West Bengal,7,0.000000,0.000000,0.006178,0.003359,0.000469,0.003089,0.000008,0.001644,0.009439,0.000025
Gen Delhi NCR (CG),West Bengal,6,0.000000,0.000000,0.006103,0.003318,0.000726,0.003052,0.000004,0.001333,0.005495,0.000122
Gen Delhi NCR (CG),West Bengal,5,0.000000,0.000000,0.000725,0.000394,0.000057,0.000363,0.000000,0.000268,0.001355,0.000009
Gen Delhi NCR (CG),West Bengal,4,0.000000,0.000000,0.000512,0.000279,0.000053,0.000256,0.000000,0.000127,0.000663,0.000008
Gen Delhi NCR (CG),West Bengal,3,0.000000,0.000000,0.000074,0.000040,0.000009,0.000037,0.000000,0.000026,0.000161,0.000000
Gen Delhi NCR (CG),West Bengal,2,0.000000,0.000000,0.000006,0.000003,0.000000,0.000003,0.000000,0.000001,0.000008,0.000000
Gen Delhi NCR (CG),West Bengal,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
